Unique donor ID,Donor type,Amount,Donation Date,Donation source,Payment Method,Donor First Gift Date,Web Donation,Recurring Donation,Campaign week,Donor location
0011n00002Bnd7bAAB,Individuals,20.0,Microsoft.OleDb.Date,Double the Love web page,Credit cards,Microsoft.OleDb.Date,1,,Week 2,Scotland
0011n00002Bnd7qAAB,Individuals,40.0,Microsoft.OleDb.Date,Double the Love fundraising ,Credit cards,Microsoft.OleDb.Date,0,,Week 6,Scotland
0011n00002BndGfAAJ,Individuals,100.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 12,England
0011n00002BndKNAAZ,Individuals,83.4,Microsoft.OleDb.Date,Gift cards,Shopify,Microsoft.OleDb.Date,1,,Week 2,Scotland
0011n00002BndKNAAZ,Individuals,111.2,Microsoft.OleDb.Date,Gift cards,Shopify,Microsoft.OleDb.Date,1,,Week 2,Scotland
0011n00002BndKVAAZ,Individuals,30.0,Microsoft.OleDb.Date,Double the Love web page,Credit cards,Microsoft.OleDb.Date,1,,Week 7,Scotland
0011n00002Bnd6JAAR,Individuals,105.0,Microsoft.OleDb.Date,Double the Love web page,Credit cards,Microsoft.OleDb.Date,1,,Week 4,Scotland
0011n00002BndHhAAJ,Individuals,30.0,Microsoft.OleDb.Date,Double the Love web page,Credit cards,Microsoft.OleDb.Date,1,,Week 1,Wales
0011n00002BnbxnAAB,Individuals,200.0,Microsoft.OleDb.Date,Gift cards,Shopify,Microsoft.OleDb.Date,0,,Week 1,Scotland
0011n00002BndJiAAJ,Individuals,50.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 11,Scotland
0011n00002BnfEmAAJ,Individuals,55.6,Microsoft.OleDb.Date,Double the Love fundraising ,Credit cards,Microsoft.OleDb.Date,0,,Week 2,Scotland
0011n00002Bnc3aAAB,Individuals,30.0,Microsoft.OleDb.Date,Double the Love web page,Credit cards,Microsoft.OleDb.Date,1,,Week 8,Scotland
0011n00002Bnd7vAAB,Individuals,100.0,Microsoft.OleDb.Date,Fundraising Projects,Bank Transfer,Microsoft.OleDb.Date,0,,Week 8,Scotland
0011n00002BndL5AAJ,Individuals,25.0,Microsoft.OleDb.Date,Offline donation,Cheques,Microsoft.OleDb.Date,0,,Week 6,Scotland
0011n00002Bnd7vAAB,Individuals,100.0,Microsoft.OleDb.Date,Fundraising Projects,Bank Transfer,Microsoft.OleDb.Date,0,,Week 6,Scotland
0011n00002BndD2AAJ,Individuals,10.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 1,Scotland
0011n00002Bnd7PAAR,Individuals,50.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 2,Scotland
